top1_negative_identity,residual_query_count,fraction_of_residual,unique_query_identity_count,median_rank_in_T0,median_rank_in_L020,min_rank_in_T0,min_rank_in_L020
0136,52,0.15160349854227406,3,7.0,1.0,4,1
0180,39,0.11370262390670553,3,7,1,6,1
0161,32,0.09329446064139942,1,2.0,1.0,2,1
0030,28,0.08163265306122448,2,6.0,1.0,3,1
0146,22,0.0641399416909621,3,3.5,2.0,2,1
0095,20,0.05830903790087463,2,3.0,1.0,2,1
0067,19,0.05539358600583091,1,2,1,2,1
0053,13,0.037900874635568516,1,9,1,8,1
0102,11,0.03206997084548105,2,2,1,2,1
0171,9,0.026239067055393587,1,22,2,15,1
0188,9,0.026239067055393587,1,2,4,2,2
0018,8,0.023323615160349854,1,2.0,2.0,2,1
0135,8,0.023323615160349854,2,2.0,1.0,2,1
0080,8,0.023323615160349854,2,17.5,5.0,3,2
0027,7,0.02040816326530612,2,5,1,3,1
0075,5,0.014577259475218658,1,4,2,3,2
0162,5,0.014577259475218658,1,2,2,2,1
0003,4,0.011661807580174927,1,4.5,1.0,3,1
0128,4,0.011661807580174927,2,13.5,2.0,4,1
0096,4,0.011661807580174927,1,6.5,3.5,6,1
0002,3,0.008746355685131196,1,3,2,3,1
0138,3,0.008746355685131196,1,3,2,3,1
0140,3,0.008746355685131196,1,6,2,6,1
0059,3,0.008746355685131196,1,20,3,14,3
0046,3,0.008746355685131196,1,3,2,3,2
0175,3,0.008746355685131196,1,7,4,7,3
0137,3,0.008746355685131196,1,2,1,2,1
0170,3,0.008746355685131196,1,7,2,6,1
0145,3,0.008746355685131196,1,2,1,2,1
0178,2,0.0058309037900874635,1,3.5,1.0,3,1
0010,2,0.0058309037900874635,1,2.0,1.0,2,1
0092,2,0.0058309037900874635,1,2.0,3.0,2,2
0032,1,0.0029154518950437317,1,15,3,15,3
0143,1,0.0029154518950437317,1,3,3,3,3
0063,1,0.0029154518950437317,1,13,3,13,3
