config,source_experiment,source_file,source_sha256,reconstructed_fields,unknown_fields
adaptive_bridge_v1.json,src/checkpoint/middle_teacher/IT-AB-A-ADAPTIVE-PRIOR-S0,src/checkpoint/middle_teacher/IT-AB-A-ADAPTIVE-PRIOR-S0/resolved_config.json,fb056990dec2dc34fefee3d1dd598c12012e8e4b869ef7ccd0dd1fb615806317,student_dim->middle_dim;student_target_layer->middle_target_layer;historical duplicate flags removed,
adaptive_bridge_v2.json,src/checkpoint/middle_teacher/IT-AB-V2-D-B28-B36-FULL-CLS-PATCH-ADAPTIVE-S0,src/checkpoint/middle_teacher/IT-AB-V2-D-B28-B36-FULL-CLS-PATCH-ADAPTIVE-S0/resolved_config.json,2a740af0e4b0385a01f63a22b159be34b0906b309e163effd47ec6f7d52a3580,student_dim->middle_dim;student_target_layer->middle_target_layer;historical duplicate flags removed,
lcrd.json,src/checkpoint/middle_teacher/TRANSFER_RESET_LCRD_SAM_L020,src/checkpoint/middle_teacher/TRANSFER_RESET_LCRD_SAM_L020/TR-LCRD-SAM-L020-BUDGET010-S0/resolved_config.json,2a4f8f4976bf17e64d75d1bdc7f2b2ff368381dc0b6dc463f0d25c3710a86928,student_dim->middle_dim;student_target_layer->middle_target_layer;historical duplicate flags removed,
margin.json,src/checkpoint/middle_teacher/IT-R3-F-MARGIN-S0,src/checkpoint/middle_teacher/IT-R3-F-MARGIN-S0/resolved_config.json,c4f16249109f5f816d9ea621d0c9138c8f5c48946d03e70417723c67a29984bb,student_dim->middle_dim;student_target_layer->middle_target_layer;historical duplicate flags removed,
nrkd.json,src/checkpoint/middle_teacher/IT-R1-F-NRKD-S0,src/checkpoint/middle_teacher/IT-R1-F-NRKD-S0/resolved_config.json,00ebd2077467d7937bbc44a7346ebbb4294a53cdfcb2858df64292742e585226,student_dim->middle_dim;student_target_layer->middle_target_layer;historical duplicate flags removed,
nrkd_margin.json,src/checkpoint/middle_teacher/IT-R4-F-MARGIN-NRKD-COMPOSER-S0,src/checkpoint/middle_teacher/IT-R4-F-MARGIN-NRKD-COMPOSER-S0/resolved_config.json,1663eba1c390dfcbd40c3d7b7972d3ca22a3cfd4681d66c039c86a480826f561,student_dim->middle_dim;student_target_layer->middle_target_layer;historical duplicate flags removed,
r0_full.json,src/checkpoint/middle_teacher/IT-R0-F-S0,src/checkpoint/middle_teacher/IT-R0-F-S0/resolved_config.json,32f6b16f791a3426383f4d9e6da028932cc747c194c7a26032992f5d8f3d5791,student_dim->middle_dim;student_target_layer->middle_target_layer;historical duplicate flags removed,
r0_partial.json,src/checkpoint/middle_teacher/IT-R0-P-S0,src/checkpoint/middle_teacher/IT-R0-P-S0/resolved_config.json,6fc00906b2bdcf521c1cb228bcdbce99d55c64045f16dee0e857f75a1da4d87f,student_dim->middle_dim;student_target_layer->middle_target_layer;historical duplicate flags removed,
rdd_l005.json,src/checkpoint/middle_teacher/ABV2_RDD_L005,src/checkpoint/middle_teacher/ABV2_RDD_L005/resolved_config.json,2a5a23d29a36b685ee5543cc757a51c27490a2ebf48ac40e43601953fcb4718a,student_dim->middle_dim;student_target_layer->middle_target_layer;historical duplicate flags removed,
rdd_l010.json,src/checkpoint/middle_teacher/ABV2_RDD_L010,src/checkpoint/middle_teacher/ABV2_RDD_L010/resolved_config.json,8bc8512f067c6fadde25343d387ce554f07f60ddf3f1505009a3cb5f088e702f,student_dim->middle_dim;student_target_layer->middle_target_layer;historical duplicate flags removed,
